Metric,SG_max,WCG,SG_mean
AUROC Joint,0.8327508837972356,0.8558930261440942,0.7994975978174524
Max F1 Joint,0.647875108412836,0.5083690151810043,0.5963199399173864
Acc Joint,0.8387755102040816,0.9594557823129252,0.7995918367346939
SHD Joint,0.6254948535233571,0.8483985765124555,0.777513855898654
Max F1 th Joint,0.18113497021776656,0.20240586264169824,0.07477113397324071
Acc th Joint,0.19835122689772422,0.2342056844685849,0.08783451057799072
SHD th Joint,0.19835122689772422,0.2342056844685849,0.08783451057799072
Null AUROC Joint,0.5,0.5,0.5
NULL F1 Joint,0.4098653253285738,0.09121895796136992,0.4098653253285738
NULL ACC Joint,0.7422448979591837,0.9522108843537415,0.7422448979591837
NULL SHD Joint,1.0,1.0,1.0
F1_FPR Joint,0.08138575749243883,0.0182532595106269,0.16662084135276325
F1_TPR Joint,0.5906571654790183,0.46405693950177934,0.6278701504354711
F1_TNR Joint,0.9186142425075612,0.981746740489373,0.8333791586472368
F1_FNR Joint,0.4093428345209818,0.5359430604982206,0.3721298495645289
F1_PREC Joint,0.7159309021113244,0.5606190885640585,0.5668334524660472
F1_REC Joint,0.5906571654790183,0.46405693950177934,0.6278701504354711
ACC_FPR Joint,0.05251580973329667,0.011502053938203251,0.0772614792411328
ACC_TPR Joint,0.5257323832145685,0.3807829181494662,0.444972288202692
ACC_TNR Joint,0.9474841902667033,0.9884979460617968,0.9227385207588672
ACC_FNR Joint,0.4742676167854315,0.6192170818505338,0.555027711797308
ACC_PREC Joint,0.776608187134503,0.6242707117852976,0.6666666666666666
ACC_REC Joint,0.5257323832145685,0.3807829181494662,0.444972288202692
SHD_FPR Joint,0.05251580973329667,0.011502053938203251,0.0772614792411328
SHD_TPR Joint,0.5257323832145685,0.3807829181494662,0.444972288202692
SHD_TNR Joint,0.9474841902667033,0.9884979460617968,0.9227385207588672
SHD_FNR Joint,0.4742676167854315,0.6192170818505338,0.555027711797308
SHD_PREC Joint,0.776608187134503,0.6242707117852976,0.6666666666666666
SHD_REC Joint,0.5257323832145685,0.3807829181494662,0.444972288202692
AUROC individual,0.8352655762998635,0.860980471050929,0.8016390167616908
Max F1 individual,0.7170572678838605,0.6293122512586996,0.6627020514948296
Acc individual,0.8732653061224483,0.9721428571428575,0.8416326530612239
SHD individual,0.5023234526910998,0.5817370224804433,0.6297583739789621
Max F1 th individual,0.17950417100063024,0.21234492192953433,0.08040442082027853
Acc th individual,0.19396543815413228,0.215649512363723,0.09480268845282967
SHD th individual,0.19396543815413228,0.215649512363723,0.09480268845282967
Null AUROC individual,0.5,0.5,0.5
NULL F1 individual,0.4054685627630391,0.09093502961622804,0.4054685627630391
NULL ACC individual,0.7422448979591836,0.952210884353741,0.7422448979591836
NULL SHD individual,1.0,1.0,1.0
F1_FPR individual,0.10548669172432781,0.008446706330421976,0.15341715905205347
F1_TPR individual,0.621171875510111,0.45531420076311724,0.5922289377289379
F1_TNR individual,0.8945133082756719,0.9915532936695781,0.8465828409479462
F1_FNR individual,0.37882812448988884,0.5446857992368828,0.4077710622710621
F1_PREC individual,0.7477839127546614,0.7726908485234567,0.5957230073927169
F1_REC individual,0.621171875510111,0.45531420076311724,0.5922289377289379
ACC_FPR individual,0.04165679560899718,0.003126001294811614,0.061340789220417254
ACC_TPR individual,0.6048579655638479,0.48026809409201043,0.5329386446886448
ACC_TNR individual,0.9583432043910024,0.9968739987051886,0.9386592107795821
ACC_FNR individual,0.39514203443615226,0.5197319059079896,0.46706135531135523
ACC_PREC individual,0.8824273649681932,0.8982563868879655,0.8122808899128695
ACC_REC individual,0.6048579655638479,0.48026809409201043,0.5329386446886448
SHD_FPR individual,0.04165679560899718,0.003126001294811614,0.061340789220417254
SHD_TPR individual,0.6048579655638479,0.48026809409201043,0.5329386446886448
SHD_TNR individual,0.9583432043910024,0.9968739987051886,0.9386592107795821
SHD_FNR individual,0.39514203443615226,0.5197319059079896,0.46706135531135523
SHD_PREC individual,0.8824273649681932,0.8982563868879655,0.8122808899128695
SHD_REC individual,0.6048579655638479,0.48026809409201043,0.5329386446886448
runtime,0 days 00:00:21.278139,0 days 00:00:21.278139,0 days 00:00:21.278139
path,data_release/coef_n_big/9_2025-12-02_19-45-04-717902,data_release/coef_n_big/9_2025-12-02_19-45-04-717902,data_release/coef_n_big/9_2025-12-02_19-45-04-717902
