Metric,SG_max,WCG,SG_mean
AUROC Joint,0.9287820963428645,0.9288322712290065,0.9183336795901079
Max F1 Joint,0.8184494602551521,0.7668886774500476,0.7992202729044834
Acc Joint,0.9272,0.9664,0.9172
SHD Joint,0.33891992551210426,0.43826086956521737,0.3854748603351955
Max F1 th Joint,0.11275357337598958,0.1255617247451884,0.0599353291598174
Acc th Joint,0.11944653892570639,0.12348196515538339,0.059950402285365335
SHD th Joint,0.11944653892570639,0.12348196515538339,0.059950402285365335
Null AUROC Joint,0.5,0.5,0.5
NULL F1 Joint,0.35363845900559765,0.14241486068111453,0.35363845900559765
NULL ACC Joint,0.7852,0.9233333333333333,0.7852
NULL SHD Joint,1.0,1.0,1.0
F1_FPR Joint,0.033112582781456956,0.010541516245487364,0.040244523688232295
F1_TPR Joint,0.7746741154562383,0.6991304347826087,0.7616387337057728
F1_TNR Joint,0.9668874172185431,0.9894584837545126,0.9597554763117677
F1_FNR Joint,0.22532588454376165,0.3008695652173913,0.2383612662942272
F1_PREC Joint,0.8648648648648649,0.8463157894736842,0.8381147540983607
F1_REC Joint,0.7746741154562383,0.6991304347826087,0.7616387337057728
ACC_FPR Joint,0.023942944472745798,0.011696750902527076,0.040244523688232295
ACC_TPR Joint,0.7486033519553073,0.7026086956521739,0.7616387337057728
ACC_TNR Joint,0.9760570555272542,0.9883032490974729,0.9597554763117677
ACC_FNR Joint,0.25139664804469275,0.29739130434782607,0.2383612662942272
ACC_PREC Joint,0.8953229398663697,0.8329896907216495,0.8381147540983607
ACC_REC Joint,0.7486033519553073,0.7026086956521739,0.7616387337057728
SHD_FPR Joint,0.023942944472745798,0.011696750902527076,0.040244523688232295
SHD_TPR Joint,0.7486033519553073,0.7026086956521739,0.7616387337057728
SHD_TNR Joint,0.9760570555272542,0.9883032490974729,0.9597554763117677
SHD_FNR Joint,0.25139664804469275,0.29739130434782607,0.2383612662942272
SHD_PREC Joint,0.8953229398663697,0.8329896907216495,0.8381147540983607
SHD_REC Joint,0.7486033519553073,0.7026086956521739,0.7616387337057728
AUROC individual,0.9271899695412351,0.926412285916624,0.916629229069117
Max F1 individual,0.8891717453690867,0.8519938690009344,0.8649488534868037
Acc individual,0.9528,0.9789333333333328,0.9432000000000003
SHD individual,0.2047582417582417,0.2563435592185591,0.2440824175824177
Max F1 th individual,0.13733525145172665,0.14373051019448707,0.06851279927529386
Acc th individual,0.10134230550836289,0.10858994715201707,0.0574363885555003
SHD th individual,0.10134230550836289,0.10858994715201707,0.0574363885555003
Null AUROC individual,0.5,0.5,0.5
NULL F1 individual,0.34353906412285484,0.1405186278249888,0.34353906412285484
NULL ACC individual,0.7852000000000002,0.9233333333333335,0.7852000000000002
NULL SHD individual,1.0,1.0,1.0
F1_FPR individual,0.026777724094977425,0.01116567558273779,0.04835398244312632
F1_TPR individual,0.6189700854700856,0.5827185592185591,0.6241089743589743
F1_TNR individual,0.9732222759050224,0.9888343244172622,0.9516460175568733
F1_FNR individual,0.3810299145299145,0.41728144078144086,0.37589102564102567
F1_PREC individual,0.8785396825396825,0.8740714285714286,0.840906703590527
F1_REC individual,0.6189700854700856,0.5827185592185591,0.6241089743589743
ACC_FPR individual,0.01708455487804996,0.00502924622976797,0.024606362720526805
ACC_TPR individual,0.8492570207570205,0.7989104090354086,0.8147173382173378
ACC_TNR individual,0.9829154451219501,0.9949707537702319,0.9753936372794731
ACC_FNR individual,0.1507429792429792,0.20108959096459092,0.18528266178266167
ACC_PREC individual,0.9445743145743144,0.9381186868686865,0.9331219336219334
ACC_REC individual,0.8492570207570205,0.7989104090354086,0.8147173382173378
SHD_FPR individual,0.01708455487804996,0.00502924622976797,0.024606362720526805
SHD_TPR individual,0.8492570207570205,0.7989104090354086,0.8147173382173378
SHD_TNR individual,0.9829154451219501,0.9949707537702319,0.9753936372794731
SHD_FNR individual,0.1507429792429792,0.20108959096459092,0.18528266178266167
SHD_PREC individual,0.9445743145743144,0.9381186868686865,0.9331219336219334
SHD_REC individual,0.8492570207570205,0.7989104090354086,0.8147173382173378
runtime,0 days 00:00:03.291511,0 days 00:00:03.291511,0 days 00:00:03.291511
path,data_release/coef_n_small/9_2025-12-02_19-46-10-713833,data_release/coef_n_small/9_2025-12-02_19-46-10-713833,data_release/coef_n_small/9_2025-12-02_19-46-10-713833
